district,state,category,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04
Cachar,Assam,confirmed,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,6,11,11,11,11,11,11,11,11,11,12,14,14,14,14,21,27,29,34,34,34,45,57,59,59,71,71,73,73
Cachar,Assam,recovered,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6,6,10,10,10,10,10,10,11,16,30,30,34,60,62,62
Cachar,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhubri,Assam,confirmed,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,8,9,9,9,24,29,34,37,37,162,162
Dhubri,Assam,recovered,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dhubri,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goalpara,Assam,confirmed,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,16,16,16,27,27,27,37,39,39,39
Goalpara,Assam,recovered,0,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Goalpara,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golaghat,Assam,confirmed,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,15,15,15,15,16,16,75,123,143,143,159,177,177,179,189,207,207
Golaghat,Assam,recovered,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,21,26,26
Golaghat,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,Assam,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,9,10,10,12,14,34,34,36,36,36,36
Hailakandi,Assam,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,Assam,deceased,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jorhat,Assam,confirmed,8,8,8,8,8,8,8,8,8,8,,,,,,,,,3,3,3,3,3,3,3,3,4,6,8,7,7,7,8,10,11,11,12,12,12,21,21,22,23,23,23
Jorhat,Assam,recovered,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,6,9,9,11,18,21,21
Jorhat,Assam,deceased,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamrup,Assam,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,9,10,10,10,10,20,20,20,22,22,54,67,70,82,92,96,96
Kamrup,Assam,recovered,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
Kamrup,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamrup Metropolitan,Assam,confirmed,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,5,5,6,5,6,6,21,29,32,34,39,46,50,81,81,81,154,161,176,203,247,279,313,316,316,343,377,393,393
Kamrup Metropolitan,Assam,recovered,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,7,10,10,10,25,65,78,78,94,181,220,220
Kamrup Metropolitan,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lakhimpur,Assam,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,21,26,27,28,30,30,48,48,48,51,51
Lakhimpur,Assam,recovered,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
Lakhimpur,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morigaon,Assam,confirmed,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,10,11,12,20,26,26,26,26,37,37,43,43,43
Morigaon,Assam,recovered,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Morigaon,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nalbari,Assam,confirmed,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,15,17,17,17,17,20,20,21,21,21,21,21
Nalbari,Assam,recovered,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Nalbari,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Salmara Mancachar,Assam,confirmed,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Salmara Mancachar,Assam,recovered,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Salmara Mancachar,Assam,deceased,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bongaigaon,Assam,confirmed,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,10
Bongaigaon,Assam,recovered,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bongaigaon,Assam,deceased,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karimganj,Assam,confirmed,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,5,26,33,33,33,41,41,41,53,53,67,67
Karimganj,Assam,recovered,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Karimganj,Assam,deceased,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other State,Assam,confirmed,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Other State,Assam,recovered,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Other State,Assam,deceased,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Salmara Mankachar,Assam,confirmed,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
South Salmara Mankachar,Assam,recovered,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Salmara Mankachar,Assam,deceased,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokrajhar,Assam,confirmed,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,6,7,7,13,13,13,15,15,41,41,57,57,57,57
Kokrajhar,Assam,recovered,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokrajhar,Assam,deceased,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baksa,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,7,8
Baksa,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baksa,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barpeta,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,4,4,13,13,16,16,19,31,43,43,43,46
Barpeta,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,12,22,22
Barpeta,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biswanath,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,13,13,13,13,40,40
Biswanath,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biswanath,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charaideo,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,14,14,14,14
Charaideo,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charaideo,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chirang,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,32,32,32,32,32,32
Chirang,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chirang,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrang,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,2,8,8,8,10,10,13,13,26,26
Darrang,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrang,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhemaji,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,8,12,12,14,18,18,18,24
Dhemaji,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Dhemaji,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibrugarh,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,5,18,18,32,32,42,42
Dibrugarh,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Dibrugarh,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dima Hasao,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,8,8,8,8,8,8,38,38
Dima Hasao,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Dima Hasao,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hojai,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,10,10,10,15,25,25,26,46,47,55,55,55,55,55,79,112
Hojai,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hojai,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karbi Anglong,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,8,8,8,8,8,8,8
Karbi Anglong,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Karbi Anglong,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Majuli,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Majuli,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Majuli,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaon,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,4,4,5,6,10,11,19,23,33,34,34,34,43,54,72,72
Nagaon,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaon,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivasagar,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,3,6,7,7,12,12,13,13,13,13,13,21,21,26,26
Sivasagar,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivasagar,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonitpur,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,3,8,14,14,14,14,14,14,14,14,14,14,20,20,23,23
Sonitpur,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13
Sonitpur,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,4,4,6,6,6,6,26,26,26,45,45,45,45
Tinsukia,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udalguri,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,12,19,24,24,26,26
Udalguri,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udalguri,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Karbi Anglong,Assam,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,2,5,5,5,5,5,4,4,4,4,4,13,13
West Karbi Anglong,Assam,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
West Karbi Anglong,Assam,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begusarai,Bihar,confirmed,9,9,9,9,9,9,9,9,11,11,11,11,11,13,13,13,13,14,26,27,31,40,47,47,47,54,54,70,82,82,90,122,130,139,156,157,160,180,180,199,246,245,249,251,251
Begusarai,Bihar,recovered,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,8,8,8,8,8,9,9,9,13,13,13,13,20,20,20,21,21,25,26,31,34,34,52,52,52,84,85,104,104
Begusarai,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Bhagalpur,Bihar,confirmed,1,5,5,5,5,5,5,5,5,5,5,5,11,11,11,12,13,14,14,23,25,26,32,33,33,38,38,42,47,59,59,64,72,78,81,95,95,112,137,141,175,183,191,201,201
Bhagalpur,Bihar,recovered,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,8,10,8,8,8,12,12,12,27,27,29,27,29,35,35,53,53,53,67,71,84,84
Bhagalpur,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Bhojpur,Bihar,confirmed,1,1,1,1,2,2,9,9,11,11,12,18,18,18,18,18,18,18,19,20,20,21,28,29,30,36,36,39,38,38,38,39,39,40,47,47,47,54,66,81,83,89,89,93,93
Bhojpur,Bihar,recovered,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,25,25,25,34,34,39,39
Bhojpur,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Buxar,Bihar,confirmed,8,8,8,20,25,25,25,26,40,40,51,53,56,56,56,56,56,56,56,56,56,56,59,59,59,59,62,62,64,64,75,100,114,114,114,114,114,114,115,117,118,117,118,122,122
Buxar,Bihar,recovered,0,0,0,0,0,1,1,1,1,5,5,5,10,11,11,18,19,45,54,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,59,59,59,91,92,92,92,92,95,95
Buxar,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaya,Bihar,confirmed,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,11,11,18,24,41,44,48,53,53,65,68,73,79,81,86,91,91
Gaya,Bihar,recovered,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,8,8,8,12,12,20,20,21,21
Gaya,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gopalganj,Bihar,confirmed,3,3,3,3,3,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,20,22,24,24,24,32,32,63,63,64,81,89,89,92,95,99,99,101,109,109,109,112,114,116,116
Gopalganj,Bihar,recovered,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,22,22,50,50,50,50,50,50,74,74,74,74
Gopalganj,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakhisarai,Bihar,confirmed,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,12,13,14,14,14,14,14,23,24,26,27,28,32,32,32,37,37,37,38,57,62,62
Lakhisarai,Bihar,recovered,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,7,5,7,7,7,7,7,15,15,18,18
Lakhisarai,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munger,Bihar,confirmed,27,27,31,62,65,68,90,92,92,95,95,95,102,102,102,102,102,102,104,115,115,115,122,122,122,125,125,133,133,133,136,137,140,146,148,148,148,148,149,155,157,157,158,158,158
Munger,Bihar,recovered,0,6,6,6,6,11,11,11,11,17,17,18,21,22,24,30,38,42,43,60,60,60,60,65,68,68,90,90,92,92,92,93,93,93,105,106,117,117,120,120,120,127,127,128,128
Munger,Bihar,deceased,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nalanda,Bihar,confirmed,28,29,31,34,34,34,35,35,35,35,36,36,36,36,36,36,36,37,39,50,51,51,63,66,66,67,68,74,72,78,78,80,83,86,87,91,91,104,106,109,109,110,111,111,111
Nalanda,Bihar,recovered,0,2,2,2,2,6,6,6,6,12,12,25,29,29,30,30,30,35,35,35,36,36,36,36,37,37,37,37,38,48,48,59,59,62,63,70,71,71,74,77,77,81,81,83,83
Nalanda,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Nawada,Bihar,confirmed,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,7,13,13,24,24,25,34,35,36,41,41,41,50,58,70,70,70,71,81,84,86,87,93,93,97,97
Nawada,Bihar,recovered,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,13,19,25,25,25,35,35,43,43,44,44
Nawada,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patna,Bihar,confirmed,8,16,24,26,33,33,39,39,42,44,44,44,44,44,44,46,47,52,52,61,72,79,99,99,100,106,163,165,167,167,168,186,196,200,211,217,218,232,237,240,251,254,261,263,263
Patna,Bihar,recovered,0,5,5,5,5,5,5,5,5,6,6,6,12,13,13,13,18,20,21,23,35,36,36,35,41,42,42,42,42,46,46,52,52,52,70,74,74,74,74,81,81,137,155,170,170
Patna,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rohtas,Bihar,confirmed,1,1,7,7,9,15,31,31,34,45,52,52,52,52,52,52,54,54,59,59,59,72,75,77,77,77,91,91,91,91,109,123,154,165,166,201,201,201,202,206,206,208,208,210,210
Rohtas,Bihar,recovered,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,17,22,34,40,41,41,41,41,41,43,42,45,45,48,59,59,59,59,59,62,59,65,65,68,68,68,121,122,124,124
Rohtas,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saran,Bihar,confirmed,1,1,1,2,3,3,4,4,4,6,6,7,8,8,8,8,8,8,8,8,8,9,10,10,10,10,11,14,14,14,14,25,29,35,38,43,47,52,53,67,76,79,81,88,88
Saran,Bihar,recovered,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,19,19,19,19,19,28,28
Saran,Bihar,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
